trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-261.39451111198304,"{0: 7, 1: 4, 2: 3, 3: 1, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-212.0712519570714,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-120.85514250433181,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-45.200775822747076,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-138.85750643216426,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-16.964413593291297,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-115.21013004823502,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-87.71798577337219,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,2,-88.86902436873186,"{0: 20, 1: 0, 2: 6, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-85.49411597248432,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-10.58743977230468,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-175.1122671832178,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-152.0230902488405,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-68.47257227676697,"{0: 29, 1: 3, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,14,17.370868388836783,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-105.73409426385206,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-97.05035761276737,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,10,-24.411221772753755,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-78.22907922860395,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,13,-8.200713571931527,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,2,-52.914594540256616,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,-14.003726591328657,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-17.68156756319536,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-5.72742437519676,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,11,12.248720382533138,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,17,13.23915889585056,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,12,-6.715688351061946,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-45.7117345628647,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,-8.337373900087893,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,19.046379024641304,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
