trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.78824105067628,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-217.86220254854652,"{0: 14, 1: 5, 2: 7, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-43.77906136956715,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",30,0,-203.50226492660002,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-227.9173692146452,"{0: 17, 1: 0, 2: 9, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-37.70903985431537,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,0,-148.66513619515976,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-33.82380810713514,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",30,0,-216.05227407159532,"{0: 15, 1: 5, 2: 5, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-142.57343049359454,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-30.294891103719067,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-15.660376977004836,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-207.43594749426296,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-27.54737761601539,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8693582353988059}",30,0,-122.01382513145415,"{0: 21, 1: 2, 2: 0, 3: 7, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-124.0472815400002,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-117.57872378088963,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-152.601345854268,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-88.62396669735409,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-73.16748490755343,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-46.43005625826721,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8105842459701871}",25,0,-192.42437564302722,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-66.82052042987215,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.794533602503334}",25,0,-202.92890077084556,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-111.16149741575624,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,-53.31850265650061,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,0,-104.16861914481308,"{0: 9, 1: 8, 2: 1, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7633794943368531}",25,0,-75.49438396634105,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7557837414557255}",25,0,-97.21680763509482,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7482635675785653}",30,0,-66.66201048649883,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.7408182206817179}",30,0,-161.25192626350872,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.7334469562242892}",25,0,-105.97528099828385,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.7261490370736909}",30,0,-87.77058068057624,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,9,-115.88352482145982,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 3}",1
35,False,"{'a': 0.5, 'e': 0.7117703227626097}",20,0,-30.352055981789924,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.7046880897187134}",30,13,-34.84445044854593,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.697676326071031}",30,0,-90.05435359046162,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.6907343306373547}",30,0,-114.49518198494516,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,0,-80.00449714949423,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.6770568744981647}",25,13,7.988907403367653,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.6703200460356393}",30,2,-132.16177254217354,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 3}",1
42,False,"{'a': 0.5, 'e': 0.6636502501363194}",25,0,-167.13475052375074,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
43,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,0,-108.70100250939393,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,0,-94.84904064550365,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.6440364210831414}",30,0,-110.21189359956091,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.6376281516217733}",30,0,-2.5101000062228187,"{0: 24, 1: 5, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.631283645506926}",25,0,-11.710560022748554,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.6250022682827008}",30,0,-92.4206340810999,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,0,-56.52030447433657,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6126263941844161}",35,0,-201.69508040586098,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 5}",0
51,False,"{'a': 0.5, 'e': 0.6065306597126334}",35,9,-23.98174207811416,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,4,-56.08409382077734,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 2}",1
53,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,0,-15.856653697101278,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,0,-134.3255480056257,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.5827482523739896}",25,7,-7.031356028869133,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,0,-49.99383804423851,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,15,8.935736436349625,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.5655254386995371}",30,17,-14.701183789591187,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.559898366565402}",25,0,-38.470816583581865,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,0,-89.12624594308916,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
