trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,19,-66.24191310557283,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.1344772771371,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.06808715487327,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-28.627523568493523,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.78978126673343,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-179.3051033081164,"{0: 10, 1: 1, 2: 4, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-189.89646029275113,"{0: 7, 1: 3, 2: 6, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.52259789376183,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,8,-183.3450306073029,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 2}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.41525985311675,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.0695901089047,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.62101599192813,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.64197196837318,"{0: 10, 1: 3, 2: 10, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-251.07601371458247,"{0: 15, 1: 3, 2: 7, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,3,-71.66025210880186,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.3775869999385,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.543924421023824,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.36294505438883,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-180.26038178705733,"{0: 12, 1: 1, 2: 1, 3: 3, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.76036596574028,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-69.19412546164625,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.71054869804085,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-131.72164949972347,"{0: 19, 1: 6, 2: 2, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-193.94448796595958,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.31871044981233,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.17255880310641,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.90087676495835,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-231.75199724273082,"{0: 18, 1: 1, 2: 5, 3: 2, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,11,-17.733476916082726,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-236.63729391160422,"{0: 15, 1: 3, 2: 8, 3: 0, 4: 4}",0
